epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,95.0216,1.57238,0.72159,0.88938,0.9284,0.96032,0.95581,0.47761,1.63633,0.77489,0.90477,0.0010166,0.0010166,0.0010166
151,95.6927,1.56565,0.70295,0.88692,0.93752,0.95269,0.96269,0.48565,1.63022,0.72798,0.90155,0.00101,0.00101,0.00101
152,96.3465,1.58746,0.71042,0.88608,0.93108,0.96495,0.96203,0.46851,1.65014,0.69089,0.90143,0.0010034,0.0010034,0.0010034
153,96.9729,1.58339,0.71275,0.88937,0.9445,0.9454,0.96294,0.43394,1.73336,0.71163,0.91376,0.0009968,0.0009968,0.0009968
154,97.6248,1.71643,0.75723,0.89183,0.95558,0.94444,0.95357,0.43207,1.73308,0.72019,0.91357,0.0009902,0.0009902,0.0009902
155,98.2848,1.56443,0.72082,0.88386,0.9677,0.96825,0.97566,0.49374,1.62456,0.71367,0.90042,0.0009836,0.0009836,0.0009836
156,98.9461,1.54142,0.70645,0.88017,0.96342,0.97619,0.97387,0.50139,1.63192,0.73394,0.89896,0.000977,0.000977,0.000977
157,99.5644,1.60867,0.73007,0.88749,0.94338,0.97619,0.97293,0.49913,1.67081,0.75268,0.90178,0.0009704,0.0009704,0.0009704
158,100.201,1.58974,0.73787,0.8851,0.95909,0.97619,0.98581,0.5013,1.66637,0.73178,0.90142,0.0009638,0.0009638,0.0009638
159,100.838,1.62248,0.74053,0.87724,0.94291,0.97619,0.96833,0.48988,1.67479,0.72213,0.90198,0.0009572,0.0009572,0.0009572
160,101.467,1.60037,0.7236,0.87917,0.95337,0.97351,0.96755,0.48016,1.6874,0.72372,0.90466,0.0009506,0.0009506,0.0009506
161,102.091,1.55732,0.68479,0.88688,0.95099,0.97619,0.97764,0.4919,1.66948,0.72135,0.9037,0.000944,0.000944,0.000944
162,102.718,1.58334,0.72239,0.87993,0.94626,0.96032,0.96507,0.46326,1.75012,0.75683,0.9122,0.0009374,0.0009374,0.0009374
163,103.335,1.53867,0.70386,0.87798,0.93732,0.94945,0.95638,0.4585,1.7458,0.77279,0.91157,0.0009308,0.0009308,0.0009308
164,103.964,1.55672,0.71209,0.87819,0.92994,0.94815,0.96137,0.49536,1.65708,0.77496,0.90501,0.0009242,0.0009242,0.0009242
165,104.594,1.57183,0.71521,0.87755,0.94046,0.92063,0.95855,0.50416,1.62873,0.80365,0.90518,0.0009176,0.0009176,0.0009176
